row_id,datatype_value
1,O15118
2,O43505
3,O43826
4,O60931
5,O75072
6,O75616
7,O75923
8,O76082
9,O95427
10,O95461
11,O95947
12,P00403
13,P00414
14,P01009
15,P02461
16,P02545
17,P02649
18,P02787
19,P05019
20,P05997
21,P07911
22,P11168
23,P12235
24,P15328
25,P15735
26,P20908
27,P21278
28,P22105
29,P23786
30,P38571
31,P39019
32,P41180
33,P43005
34,P46019
35,P48048
36,P49638
37,P51571
38,P51659
39,P51801
40,P53007
41,P53680
42,P54259
43,P55157
44,P61916
45,Q0VG99
46,Q13286
47,Q13621
48,Q14118
49,Q14739
50,Q14807
51,Q16586
52,Q16610
53,Q30201
54,Q695T7
55,Q6P5W5
56,Q6Q788
57,Q75V66
58,Q8WZ55
59,Q8WZA1
60,Q93100
61,Q969N2
62,Q96A29
63,Q96DA6
64,Q96H72
65,Q96RR1
66,Q96S06
67,Q9BYE0
68,Q9H2F3
69,Q9H3L0
70,Q9H3Z4
71,Q9H9J2
72,Q9H9S5
73,Q9HCJ1
74,Q9NRA2
75,Q9NYJ7
76,Q9UJS0
77,Q9UM01
78,Q9UNF1
79,Q9Y276
80,Q9Y2B1
81,Q9Y2D4
82,Q9Y4U1
